"","SPCD","State","PLOT","lat","lon","minAVP","Common","Species"
"66","375","OH",5510,40.935424,-81.43074,391.194642014162,"paper birch","Betula papyrifera"
"67","462","OH",7071,41.612557,-84.600006,352.230440597954,"hackberry","Celtis occidentalis"
"68","544","OH",7017,41.498544,-84.442255,362.083123524784,"green ash","Fraxinus pennsylvanica"
"69","602","OH",11,40.5773520899281,-82.4635852194245,364.336136900079,"black walnut","Juglans nigra"
"70","701","OH",7079,41.442875,-84.767888,356.241321793863,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",7071,41.612557,-84.600006,352.230440597954,"eastern cottonwood","Populus deltoides"
"72","763","OH",5486,41.706025,-81.072875,376.057639653816,"chokecherry","Prunus virginiana"
"73","766","OH",56,40.4479941807229,-82.7375922891566,377.353406766326,"American plum","Prunus americana"
"74","823","OH",11,40.5773520899281,-82.4635852194245,364.336136900079,"bur oak","Quercus macrocarpa"
"75","920","OH",5740,40.59874,-82.074208,379.363406766326,"willow spp.","Salix spp."
"76","921","OH",58,40.2659274204545,-83.6273275,380.74666404406,"peachleaf willow","Salix amygdaloides"
"77","951","OH",7079,41.442875,-84.767888,356.241321793863,"American basswood","Tilia americana"
"78","972","OH",7079,41.442875,-84.767888,356.241321793863,"American elm","Ulmus americana"
"79","975","OH",11,40.5773520899281,-82.4635852194245,364.336136900079,"slippery elm","Ulmus rubra"
"80","68","ND",648,46.991865,-97.564123,174.622745869394,"eastern redcedar","Juniperus virginiana"
"81","122","ND",354,46.524135,-98.444376,190.132061369001,"ponderosa pine","Pinus ponderosa"
"82","313","ND",395,48.6180578193548,-98.160146283871,148.985169158143,"boxelder maple","Acer negundo"
"83","375","ND",419,48.714519,-97.964978,149.335247836349,"paper birch","Betula papyrifera"
"84","544","ND",395,48.6180578193548,-98.160146283871,148.985169158143,"green ash","Fraxinus pennsylvanica"
"85","701","ND",419,48.714519,-97.964978,149.335247836349,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",472,48.0764814423077,-98.0655783846154,158.675373721479,"eastern cottonwood","Populus deltoides"
"87","763","ND",441,48.898314,-98.145696,148.944146341463,"chokecherry","Prunus virginiana"
"88","766","ND",398,47.879375,-98.818447,169.782808811959,"American plum","Prunus americana"
"89","823","ND",395,48.6180578193548,-98.160146283871,148.985169158143,"bur oak","Quercus macrocarpa"
"90","920","ND",337,48.819176,-99.4815374545455,153.55871754524,"willow spp.","Salix spp."
"91","921","ND",395,48.6180578193548,-98.160146283871,148.985169158143,"peachleaf willow","Salix amygdaloides"
"92","951","ND",417,48.6854854840764,-97.9531973630573,149.591699449253,"American basswood","Tilia americana"
"93","972","ND",395,48.6180578193548,-98.160146283871,148.985169158143,"American elm","Ulmus americana"
"94","975","ND",307,48.958546,-97.246115,152.344382376082,"slippery elm","Ulmus rubra"
"95","68","MI",493,45.9630775153846,-87.7321425076923,225.753658536585,"eastern redcedar","Juniperus virginiana"
"96","313","MI",389,46.3765207941176,-88.3206881176471,202.67627852085,"boxelder maple","Acer negundo"
"97","375","MI",9093,46.264241,-89.558418,195.129976396538,"paper birch","Betula papyrifera"
"98","462","MI",299,46.02218075,-87.7288825,221.028623131393,"hackberry","Celtis occidentalis"
"99","544","MI",393,46.3753022352941,-89.7475203235294,198.507734067663,"green ash","Fraxinus pennsylvanica"
"100","602","MI",308,46.0630989774436,-87.8700235112782,220.908261211644,"black walnut","Juglans nigra"
"101","701","MI",9146,46.265511,-89.669471,193.78897718332,"eastern hophornbeam","Ostrya virginiana"
