"","SPCD","State","PLOT","lat","lon","maxRain","Common","Species"
"65","313","OH",6903,39.344262,-84.812289,143.671463414634,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,113.34756097561,"paper birch","Betula papyrifera"
"67","462","OH",6899,39.282921,-84.582095,143.646097560976,"hackberry","Celtis occidentalis"
"68","544","OH",6480,38.967793,-84.078745,140.765853658537,"green ash","Fraxinus pennsylvanica"
"69","602","OH",6903,39.344262,-84.812289,143.671463414634,"black walnut","Juglans nigra"
"70","701","OH",11,40.5773520899281,-82.4635852194245,136.840487804878,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",6895,39.452096,-84.741739,141.516585365854,"eastern cottonwood","Populus deltoides"
"72","763","OH",6604,39.571883,-83.90484,131.570731707317,"chokecherry","Prunus virginiana"
"73","766","OH",56,40.4479941807229,-82.7375922891566,129.218780487805,"American plum","Prunus americana"
"74","823","OH",6481,38.993129,-84.279936,139.060487804878,"bur oak","Quercus macrocarpa"
"75","920","OH",5740,40.59874,-82.074208,125.716097560976,"willow spp.","Salix spp."
"76","921","OH",38,40.2188748067227,-82.8805285546218,130.218536585366,"peachleaf willow","Salix amygdaloides"
"77","951","OH",6628,39.14539,-84.218499,140.121463414634,"American basswood","Tilia americana"
"78","972","OH",6903,39.344262,-84.812289,143.671463414634,"American elm","Ulmus americana"
"79","975","OH",6899,39.282921,-84.582095,143.646097560976,"slippery elm","Ulmus rubra"
"80","68","ND",648,46.991865,-97.564123,102.734390243902,"eastern redcedar","Juniperus virginiana"
"81","122","ND",354,46.524135,-98.444376,88.8143902439024,"ponderosa pine","Pinus ponderosa"
"82","313","ND",269,48.89523,-99.738581,113.615853658537,"boxelder maple","Acer negundo"
"83","375","ND",269,48.89523,-99.738581,113.615853658537,"paper birch","Betula papyrifera"
"84","544","ND",496,48.971111,-100.439713,116.165853658537,"green ash","Fraxinus pennsylvanica"
"85","701","ND",419,48.714519,-97.964978,108.708536585366,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",472,48.0764814423077,-98.0655783846154,105.202926829268,"eastern cottonwood","Populus deltoides"
"87","763","ND",467,48.905791,-100.277649,113.068048780488,"chokecherry","Prunus virginiana"
"88","766","ND",398,47.879375,-98.818447,102.469512195122,"American plum","Prunus americana"
"89","823","ND",496,48.971111,-100.439713,116.165853658537,"bur oak","Quercus macrocarpa"
"90","920","ND",337,48.819176,-99.4815374545455,101.278048780488,"willow spp.","Salix spp."
"91","921","ND",292,48.934666,-99.754322,112.334634146341,"peachleaf willow","Salix amygdaloides"
"92","951","ND",417,48.6854854840764,-97.9531973630573,108.706585365854,"American basswood","Tilia americana"
"93","972","ND",343,48.8648065121951,-99.762853,111.323170731707,"American elm","Ulmus americana"
"94","975","ND",530,46.259945,-97.113904,103.177804878049,"slippery elm","Ulmus rubra"
"95","68","MI",116,44.8656340294118,-86.0633195196078,120.824634146341,"eastern redcedar","Juniperus virginiana"
"96","313","MI",763,46.51688175,-85.21100125,119.013902439024,"boxelder maple","Acer negundo"
"97","375","MI",698,46.392791,-84.915009,125.372682926829,"paper birch","Betula papyrifera"
"98","462","MI",236,44.6564735,-86.0674158943662,114.882195121951,"hackberry","Celtis occidentalis"
"99","544","MI",9038,44.8306846388889,-85.9965535972222,122.41487804878,"green ash","Fraxinus pennsylvanica"
"100","602","MI",116,44.8656340294118,-86.0633195196078,120.824634146341,"black walnut","Juglans nigra"
"101","701","MI",9038,44.8306846388889,-85.9965535972222,122.41487804878,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",149,44.4922032865497,-86.105489619883,117.339512195122,"eastern cottonwood","Populus deltoides"
"103","763","MI",715,46.3601725384615,-84.8045643846154,123.193414634146,"chokecherry","Prunus virginiana"
"104","766","MI",13,44.4925107546468,-85.9549141895911,112.387073170732,"American plum","Prunus americana"
"105","823","MI",116,44.8656340294118,-86.0633195196078,120.824634146341,"bur oak","Quercus macrocarpa"
"106","920","MI",109,45.011533877907,-86.1345422616279,115.729268292683,"willow spp.","Salix spp."
"107","921","MI",619,46.4365105,-84.8636025454545,118.302195121951,"peachleaf willow","Salix amygdaloides"
"108","951","MI",9038,44.8306846388889,-85.9965535972222,122.41487804878,"American basswood","Tilia americana"
"109","972","MI",715,46.3601725384615,-84.8045643846154,123.193414634146,"American elm","Ulmus americana"
"110","975","MI",149,44.4922032865497,-86.105489619883,117.339512195122,"slippery elm","Ulmus rubra"
"111","68","KS",372,37.4412783333333,-95.3554425185185,169.677073170732,"eastern redcedar","Juniperus virginiana"
"112","122","KS",362,38.4611168125,-95.5697307291667,150.280975609756,"ponderosa pine","Pinus ponderosa"
"113","313","KS",374,37.0321351698113,-96.0116375471698,164.226829268293,"boxelder maple","Acer negundo"
"114","462","KS",303,37.108296,-94.695965,170.077317073171,"hackberry","Celtis occidentalis"
"115","544","KS",343,37.5516680298507,-95.2195402462687,169.612195121951,"green ash","Fraxinus pennsylvanica"
"116","602","KS",343,37.5516680298507,-95.2195402462687,169.612195121951,"black walnut","Juglans nigra"
"117","701","KS",316,38.437829271028,-95.790230682243,150.004146341463,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",372,37.4412783333333,-95.3554425185185,169.677073170732,"eastern cottonwood","Populus deltoides"
"119","763","KS",319,37.9877357867647,-95.0500431985294,152.08512195122,"chokecherry","Prunus virginiana"
"120","766","KS",361,37.6556618514851,-95.1978415445544,168.462682926829,"American plum","Prunus americana"
"121","823","KS",343,37.5516680298507,-95.2195402462687,169.612195121951,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,151.468780487805,"willow spp.","Salix spp."
"123","921","KS",319,37.9877357867647,-95.0500431985294,152.08512195122,"peachleaf willow","Salix amygdaloides"
"124","951","KS",316,38.437829271028,-95.790230682243,150.004146341463,"American basswood","Tilia americana"
"125","972","KS",303,37.108296,-94.695965,170.077317073171,"American elm","Ulmus americana"
"126","975","KS",343,37.5516680298507,-95.2195402462687,169.612195121951,"slippery elm","Ulmus rubra"
"127","68","IN",108,38.7598883166667,-86.6600670833333,151.593170731707,"eastern redcedar","Juniperus virginiana"
"128","313","IN",68,38.7378276666667,-86.8337444358974,154.108048780488,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,144.782926829268,"paper birch","Betula papyrifera"
"130","462","IN",68,38.7378276666667,-86.8337444358974,154.108048780488,"hackberry","Celtis occidentalis"
"131","544","IN",150,38.6561033666667,-87.2896350666667,149.52243902439,"green ash","Fraxinus pennsylvanica"
"132","602","IN",68,38.7378276666667,-86.8337444358974,154.108048780488,"black walnut","Juglans nigra"
"133","701","IN",68,38.7378276666667,-86.8337444358974,154.108048780488,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",108,38.7598883166667,-86.6600670833333,151.593170731707,"eastern cottonwood","Populus deltoides"
"135","763","IN",145,39.2935257272727,-86.7336180606061,135.988780487805,"chokecherry","Prunus virginiana"
"136","766","IN",40,38.889503562963,-85.5284242962963,141.888536585366,"American plum","Prunus americana"
"137","823","IN",82,38.812858725,-86.268741025,145.518048780488,"bur oak","Quercus macrocarpa"
"138","920","IN",223,39.1121065138889,-86.1695880833333,139.831951219512,"willow spp.","Salix spp."
"139","951","IN",150,38.6561033666667,-87.2896350666667,149.52243902439,"American basswood","Tilia americana"
"140","972","IN",68,38.7378276666667,-86.8337444358974,154.108048780488,"American elm","Ulmus americana"
"141","975","IN",68,38.7378276666667,-86.8337444358974,154.108048780488,"slippery elm","Ulmus rubra"
"142","68","IL",222,37.576338,-88.9196550769231,149.834390243902,"eastern redcedar","Juniperus virginiana"
"143","313","IL",211,37.4775159038462,-89.2803933461538,149.345609756098,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,118.296829268293,"paper birch","Betula papyrifera"
"145","462","IL",229,37.562157,-88.473164,149.480731707317,"hackberry","Celtis occidentalis"
"146","544","IL",9001,37.579359,-89.373905,155.437804878049,"green ash","Fraxinus pennsylvanica"
"147","602","IL",229,37.562157,-88.473164,149.480731707317,"black walnut","Juglans nigra"
"148","701","IL",9003,37.5597305625,-88.9603228125,155.398048780488,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",207,37.4638555185185,-89.1437525925926,149.53756097561,"eastern cottonwood","Populus deltoides"
"150","763","IL",27,38.910987696,-89.338283544,125.644146341463,"chokecherry","Prunus virginiana"
"151","766","IL",67,40.8361109184549,-90.472071304721,126.070487804878,"American plum","Prunus americana"
"152","823","IL",9018,37.49538,-88.493271,146.250975609756,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,118.492195121951,"peachleaf willow","Salix amygdaloides"
"154","951","IL",9002,37.439221030303,-88.5050374848485,144.547073170732,"American basswood","Tilia americana"
"155","972","IL",220,37.6187039,-89.3836637,153.97487804878,"American elm","Ulmus americana"
"156","975","IL",9003,37.5597305625,-88.9603228125,155.398048780488,"slippery elm","Ulmus rubra"
"157","68","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"eastern redcedar","Juniperus virginiana"
"158","122","IA",58,41.9242500283019,-93.4686019339623,146.233902439024,"ponderosa pine","Pinus ponderosa"
