"","SPCD","State","PLOT","maxAWS","geometry","Common","Species"
"62","823","SD",417,351.087493896484,c(-97.9999773125, 45.5824035),"bur oak","Quercus macrocarpa"
"63","920","SD",603,296.615020751953,c(-100.605451, 43.759696),"willow spp.","Salix spp."
"64","921","SD",638,125.455001831055,c(-99.41607, 43.795603),"peachleaf willow","Salix amygdaloides"
"65","951","SD",477,334.244995117188,c(-100.020126428571, 44.6214904201681),"basswood","Tilia americana"
"66","975","SD",464,179.462509155273,c(-99.16078, 43.349402),"slippery elm","Ulmus rubra"
"67","68","OH",6166,312.024993896484,c(-83.426363, 39.180259),"eastern redcedar","Juniperus virginiana"
"68","375","OH",5510,129.414993286133,c(-81.43074, 40.935424),"paper birch","Betula papyrifera"
"69","701","OH",60,366.862518310547,c(-82.0764485947369, 40.7290812105263),"ironwood","Ostrya virginiana"
"70","766","OH",56,286.317504882812,c(-82.7375922891566, 40.4479941807229),"American plum","Prunus americana"
"71","920","OH",5305,260.304992675781,c(-80.854485, 41.477181),"willow spp.","Salix spp."
"72","921","OH",38,259.244995117188,c(-82.8805285546219, 40.2188748067227),"peachleaf willow","Salix amygdaloides"
"73","68","ND",648,322.237487792969,c(-97.564123, 46.991865),"eastern redcedar","Juniperus virginiana"
"74","122","ND",354,290.549987792969,c(-98.444376, 46.524135),"ponderosa pine","Pinus ponderosa"
"75","313","ND",394,390.744995117188,c(-97.833015, 48.939136),"boxelder","Acer negundo"
"76","375","ND",466,351.184997558594,c(-100.216577, 48.90256),"paper birch","Betula papyrifera"
"77","544","ND",394,390.744995117188,c(-97.833015, 48.939136),"green ash","Fraxinus pennsylvanica"
"78","701","ND",419,279.529998779297,c(-97.964978, 48.714519),"ironwood","Ostrya virginiana"
"79","763","ND",394,390.744995117188,c(-97.833015, 48.939136),"chokecherry","Prunus virginiana"
"80","766","ND",2283,340.919982910156,c(-102.391081, 48.14338),"American plum","Prunus americana"
"81","823","ND",467,357.663330078125,c(-100.277649, 48.905791),"bur oak","Quercus macrocarpa"
"82","920","ND",2353,347.290008544922,c(-103.655919, 48.107707),"willow spp.","Salix spp."
"83","921","ND",343,333.860015869141,c(-99.762853, 48.8648065121951),"peachleaf willow","Salix amygdaloides"
"84","951","ND",394,390.744995117188,c(-97.833015, 48.939136),"basswood","Tilia americana"
"85","972","ND",394,390.744995117188,c(-97.833015, 48.939136),"American elm","Ulmus americana"
"86","975","ND",530,321.774993896484,c(-97.113904, 46.259945),"slippery elm","Ulmus rubra"
"87","766","MI",13,170.379989624023,c(-85.9549141895911, 44.4925107546468),"American plum","Prunus americana"
"88","68","KS",241,415.285003662109,c(-97.5493087310345, 39.2664458344828),"eastern redcedar","Juniperus virginiana"
"89","122","KS",241,415.285003662109,c(-97.5493087310345, 39.2664458344828),"ponderosa pine","Pinus ponderosa"
"90","313","KS",546,420.459991455078,c(-97.314659, 39.571145),"boxelder","Acer negundo"
"91","462","KS",546,420.459991455078,c(-97.314659, 39.571145),"hackberry","Celtis occidentalis"
"92","544","KS",210,411.637512207031,c(-98.7879865294118, 39.4499486911765),"green ash","Fraxinus pennsylvanica"
"93","602","KS",241,415.285003662109,c(-97.5493087310345, 39.2664458344828),"black walnut","Juglans nigra"
