"","SPCD","State","PLOT","lat","lon","minRain","Common","Species"
"65","313","OH",7193,41.552588,-82.834154,49.7290243902439,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,60.1148780487805,"paper birch","Betula papyrifera"
"67","462","OH",7017,41.498544,-84.442255,50.9390243902439,"hackberry","Celtis occidentalis"
"68","544","OH",6353,41.430016,-82.707258,50.8421951219512,"green ash","Fraxinus pennsylvanica"
"69","602","OH",6920,41.426165,-84.036846,51.1978048780488,"black walnut","Juglans nigra"
"70","701","OH",36,40.6943475714286,-83.1935375178572,52.820243902439,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",6206,41.604039,-82.715743,50.1756097560976,"eastern cottonwood","Populus deltoides"
"72","763","OH",64,40.5682565769231,-83.1798713846154,52.2978048780488,"chokecherry","Prunus virginiana"
"73","766","OH",84,40.764326469697,-81.4241642727273,63.35,"American plum","Prunus americana"
"74","823","OH",7019,41.43318,-84.384819,51.5480487804878,"bur oak","Quercus macrocarpa"
"75","920","OH",6050,41.4123,-82.212693,51.6353658536585,"willow spp.","Salix spp."
"76","921","OH",38,40.2188748067227,-82.8805285546218,63.7404878048781,"peachleaf willow","Salix amygdaloides"
"77","951","OH",6920,41.426165,-84.036846,51.1978048780488,"American basswood","Tilia americana"
"78","972","OH",7017,41.498544,-84.442255,50.9390243902439,"American elm","Ulmus americana"
"79","975","OH",6920,41.426165,-84.036846,51.1978048780488,"slippery elm","Ulmus rubra"
"80","68","ND",2326,47.555566,-103.408721,8.59170731707317,"eastern redcedar","Juniperus virginiana"
"81","122","ND",2249,46.5807658088235,-103.504916647059,8.79146341463415,"ponderosa pine","Pinus ponderosa"
"82","313","ND",2209,47.644659,-100.046696,7.58414634146341,"boxelder maple","Acer negundo"
"83","375","ND",404,48.748227,-97.928114,13.650243902439,"paper birch","Betula papyrifera"
"84","544","ND",2439,47.958923,-103.956183,7.39682926829268,"green ash","Fraxinus pennsylvanica"
"85","701","ND",448,48.077334,-97.313675,12.0251219512195,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",2398,48.04357,-103.797483,7.3380487804878,"eastern cottonwood","Populus deltoides"
"87","763","ND",2205,48.082344,-102.76601,8.53365853658537,"chokecherry","Prunus virginiana"
"88","766","ND",2268,47.6792078717949,-103.117938025641,10.0765853658537,"American plum","Prunus americana"
"89","823","ND",227,47.763075,-98.888347,8.77926829268293,"bur oak","Quercus macrocarpa"
"90","920","ND",2353,48.107707,-103.655919,7.66682926829268,"willow spp.","Salix spp."
"91","921","ND",2398,48.04357,-103.797483,7.3380487804878,"peachleaf willow","Salix amygdaloides"
"92","951","ND",296,48.3185037555556,-99.3683258074074,9.55756097560976,"American basswood","Tilia americana"
"93","972","ND",2253,46.245944,-100.197935,8.36170731707317,"American elm","Ulmus americana"
"94","975","ND",2232,47.559362,-102.298833,9.92121951219512,"slippery elm","Ulmus rubra"
"95","68","MI",292,45.2716819649123,-86.9722409824561,24.3109756097561,"eastern redcedar","Juniperus virginiana"
"96","313","MI",383,45.7959434090909,-87.8012336818182,24.3978048780488,"boxelder maple","Acer negundo"
"97","375","MI",346,46.0181150204082,-88.4617971428572,23.329756097561,"paper birch","Betula papyrifera"
"98","462","MI",102,45.3406024329897,-86.4868728453608,25.2109756097561,"hackberry","Celtis occidentalis"
"99","544","MI",346,46.0181150204082,-88.4617971428572,23.329756097561,"green ash","Fraxinus pennsylvanica"
"100","602","MI",292,45.2716819649123,-86.9722409824561,24.3109756097561,"black walnut","Juglans nigra"
"101","701","MI",346,46.0181150204082,-88.4617971428572,23.329756097561,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",276,45.4500718382353,-86.5915667941176,25.5790243902439,"eastern cottonwood","Populus deltoides"
"103","763","MI",319,45.97766015,-88.29284895,24.6951219512195,"chokecherry","Prunus virginiana"
"104","766","MI",3,44.3742591376812,-85.5982131594203,44.8243902439024,"American plum","Prunus americana"
"105","823","MI",346,46.0181150204082,-88.4617971428572,23.329756097561,"bur oak","Quercus macrocarpa"
"106","920","MI",94,45.2725209240506,-86.2876821308017,32.340243902439,"willow spp.","Salix spp."
"107","921","MI",520,45.7908608461538,-87.3375331538462,26.8451219512195,"peachleaf willow","Salix amygdaloides"
"108","951","MI",346,46.0181150204082,-88.4617971428572,23.329756097561,"American basswood","Tilia americana"
"109","972","MI",292,45.2716819649123,-86.9722409824561,24.3109756097561,"American elm","Ulmus americana"
"110","975","MI",157,45.4707204137931,-87.0583613275862,25.4343902439024,"slippery elm","Ulmus rubra"
"111","68","KS",219,39.648555,-99.728856,12.0063414634146,"eastern redcedar","Juniperus virginiana"
"112","122","KS",287,38.1967310181818,-98.1057238909091,20.6314634146341,"ponderosa pine","Pinus ponderosa"
"113","313","KS",214,39.448526556701,-99.5316465154639,14.1031707317073,"boxelder maple","Acer negundo"
"114","462","KS",258,39.6333343783784,-99.849435027027,12.1270731707317,"hackberry","Celtis occidentalis"
"115","544","KS",219,39.648555,-99.728856,12.0063414634146,"green ash","Fraxinus pennsylvanica"
"116","602","KS",258,39.6333343783784,-99.849435027027,12.1270731707317,"black walnut","Juglans nigra"
"117","701","KS",213,39.5170935656566,-97.7215878888889,18.4609756097561,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",219,39.648555,-99.728856,12.0063414634146,"eastern cottonwood","Populus deltoides"
"119","763","KS",539,39.944019,-96.980901,20.070243902439,"chokecherry","Prunus virginiana"
"120","766","KS",265,39.2948096814159,-97.9976772123894,18.8943902439024,"American plum","Prunus americana"
"121","823","KS",215,39.0967575757576,-98.6124326606061,16.429756097561,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,26.9792682926829,"willow spp.","Salix spp."
"123","921","KS",258,39.6333343783784,-99.849435027027,12.1270731707317,"peachleaf willow","Salix amygdaloides"
"124","951","KS",213,39.5170935656566,-97.7215878888889,18.4609756097561,"American basswood","Tilia americana"
"125","972","KS",219,39.648555,-99.728856,12.0063414634146,"American elm","Ulmus americana"
"126","975","KS",258,39.6333343783784,-99.849435027027,12.1270731707317,"slippery elm","Ulmus rubra"
"127","68","IN",44,40.7763223355705,-85.1831275369127,55.3141463414634,"eastern redcedar","Juniperus virginiana"
"128","313","IN",182,41.30307,-85.964111,52.3309756097561,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,79.5185365853659,"paper birch","Betula papyrifera"
"130","462","IN",168,40.427349,-87.2923315,53.2521951219512,"hackberry","Celtis occidentalis"
"131","544","IN",252,41.190936952381,-85.9588390952381,53.6031707317073,"green ash","Fraxinus pennsylvanica"
"132","602","IN",252,41.190936952381,-85.9588390952381,53.6031707317073,"black walnut","Juglans nigra"
"133","701","IN",191,40.948835,-84.995399,54.4282926829268,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",252,41.190936952381,-85.9588390952381,53.6031707317073,"eastern cottonwood","Populus deltoides"
"135","763","IN",255,41.631125,-86.921813,55.9851219512195,"chokecherry","Prunus virginiana"
"136","766","IN",20,40.834957549763,-85.9046619194313,58.8221951219512,"American plum","Prunus americana"
"137","823","IN",197,41.005895,-87.26851,50.4736585365854,"bur oak","Quercus macrocarpa"
"138","920","IN",48,40.1780519139785,-86.0055538924731,60.7329268292683,"willow spp.","Salix spp."
"139","951","IN",182,41.30307,-85.964111,52.3309756097561,"American basswood","Tilia americana"
"140","972","IN",182,41.30307,-85.964111,52.3309756097561,"American elm","Ulmus americana"
"141","975","IN",182,41.30307,-85.964111,52.3309756097561,"slippery elm","Ulmus rubra"
"142","68","IL",67,40.8361109184549,-90.472071304721,40.1278048780488,"eastern redcedar","Juniperus virginiana"
"143","313","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,49.5909756097561,"paper birch","Betula papyrifera"
"145","462","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"hackberry","Celtis occidentalis"
"146","544","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"green ash","Fraxinus pennsylvanica"
"147","602","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"black walnut","Juglans nigra"
"148","701","IL",67,40.8361109184549,-90.472071304721,40.1278048780488,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"eastern cottonwood","Populus deltoides"
"150","763","IL",51,39.8494546731707,-89.7626121512195,49.5909756097561,"chokecherry","Prunus virginiana"
"151","766","IL",67,40.8361109184549,-90.472071304721,40.1278048780488,"American plum","Prunus americana"
"152","823","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,51.3348780487805,"peachleaf willow","Salix amygdaloides"
"154","951","IL",67,40.8361109184549,-90.472071304721,40.1278048780488,"American basswood","Tilia americana"
"155","972","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"American elm","Ulmus americana"
"156","975","IL",69,40.6623814084507,-90.2771491126761,40.1192682926829,"slippery elm","Ulmus rubra"
"157","68","IA",156,42.626827,-96.508173,17.8948780487805,"eastern redcedar","Juniperus virginiana"
"158","122","IA",208,41.7112011684982,-94.533078967033,24.3136585365854,"ponderosa pine","Pinus ponderosa"
"159","313","IA",146,41.9184779466019,-95.6798150194175,18.0046341463415,"boxelder maple","Acer negundo"
"160","375","IA",201,41.7776718446602,-92.9939487022654,24.050243902439,"paper birch","Betula papyrifera"
"161","462","IA",161,42.08509,-95.840606,17.2507317073171,"hackberry","Celtis occidentalis"
"162","544","IA",189,42.28278,-95.833535,17.8963414634146,"green ash","Fraxinus pennsylvanica"
"163","602","IA",122,42.953098,-95.008246,16.2524390243902,"black walnut","Juglans nigra"
"164","701","IA",161,42.08509,-95.840606,17.2507317073171,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",222,42.281375,-96.321412,16.500487804878,"eastern cottonwood","Populus deltoides"
"166","763","IA",170,42.3280622222222,-93.6817002222222,23.3726829268293,"chokecherry","Prunus virginiana"
"167","766","IA",225,42.1784485204082,-95.2686525204082,19.3463414634146,"American plum","Prunus americana"
"168","823","IA",122,42.953098,-95.008246,16.2524390243902,"bur oak","Quercus macrocarpa"
"169","920","IA",80,41.5151172274143,-93.1067842866044,26.019512195122,"willow spp.","Salix spp."
"170","921","IA",229,41.421913,-95.642271,19.8756097560976,"peachleaf willow","Salix amygdaloides"
"171","951","IA",177,42.236091,-95.941332,18.1429268292683,"American basswood","Tilia americana"
"172","972","IA",122,42.953098,-95.008246,16.2524390243902,"American elm","Ulmus americana"
"173","975","IA",122,42.953098,-95.008246,16.2524390243902,"slippery elm","Ulmus rubra"
"174","68","MN",212,46.8311465488216,-94.9872287239057,14.6643902439024,"eastern redcedar","Juniperus virginiana"
"175","313","MN",1536,48.029304,-95.217647,13.3956097560976,"boxelder maple","Acer negundo"
"176","375","MN",1647,48.162164,-94.962066,12.4348780487805,"paper birch","Betula papyrifera"
"177","462","MN",1536,48.029304,-95.217647,13.3956097560976,"hackberry","Celtis occidentalis"
"178","544","MN",1516,48.15631,-95.207065,13.0217073170732,"green ash","Fraxinus pennsylvanica"
"179","602","MN",212,46.8311465488216,-94.9872287239057,14.6643902439024,"black walnut","Juglans nigra"
"180","701","MN",836,46.863257,-95.807723,14.1841463414634,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",89,46.6591424135338,-94.8430276315789,14.9951219512195,"eastern cottonwood","Populus deltoides"
"182","763","MN",468,48.090283,-95.406708,13.2743902439024,"chokecherry","Prunus virginiana"
"183","766","MN",194,46.2533918021978,-95.4613531978022,17.1682926829268,"American plum","Prunus americana"
"184","823","MN",1601,48.168767,-95.400389,13.2512195121951,"bur oak","Quercus macrocarpa"
"185","920","MN",680,48.103363,-95.095206,13.039756097561,"willow spp.","Salix spp."
"186","921","MN",712,47.9424592575758,-94.6815829393939,14.9719512195122,"peachleaf willow","Salix amygdaloides"
"187","951","MN",1536,48.029304,-95.217647,13.3956097560976,"American basswood","Tilia americana"
"188","972","MN",1601,48.168767,-95.400389,13.2512195121951,"American elm","Ulmus americana"
"189","975","MN",691,46.732997,-95.845922,14.469756097561,"slippery elm","Ulmus rubra"
