"","SPCD","State","PLOT","lat","lon","minASR","Common","Species"
"67","462","OH",7156,41.356201,-83.319398,158.729484395489,"hackberry","Celtis occidentalis"
"68","544","OH",5486,41.706025,-81.072875,145.007618672961,"green ash","Fraxinus pennsylvanica"
"69","602","OH",5502,41.556826,-81.321788,150.324256228691,"black walnut","Juglans nigra"
"70","701","OH",5140,41.749691,-80.951685,145.027260949384,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",5675,41.676386,-81.402005,150.669356936795,"eastern cottonwood","Populus deltoides"
"72","763","OH",5486,41.706025,-81.072875,145.007618672961,"chokecherry","Prunus virginiana"
"73","766","OH",84,40.764326469697,-81.4241642727273,168.751519276161,"American plum","Prunus americana"
"74","823","OH",5675,41.676386,-81.402005,150.669356936795,"bur oak","Quercus macrocarpa"
"75","920","OH",6050,41.4123,-82.212693,157.62453448728,"willow spp.","Salix spp."
"76","921","OH",38,40.2188748067227,-82.8805285546218,169.913082349856,"peachleaf willow","Salix amygdaloides"
"77","951","OH",5675,41.676386,-81.402005,150.669356936795,"American basswood","Tilia americana"
"78","972","OH",5486,41.706025,-81.072875,145.007618672961,"American elm","Ulmus americana"
"79","975","OH",5299,41.79477,-81.060993,147.437354051928,"slippery elm","Ulmus rubra"
"80","68","ND",663,47.123857,-97.314025,136.036161028062,"eastern redcedar","Juniperus virginiana"
"81","122","ND",354,46.524135,-98.444376,138.975247836349,"ponderosa pine","Pinus ponderosa"
"82","313","ND",434,48.931064,-98.088657,114.703874639392,"boxelder maple","Acer negundo"
"83","375","ND",404,48.748227,-97.928114,120.142964070286,"paper birch","Betula papyrifera"
"84","544","ND",434,48.931064,-98.088657,114.703874639392,"green ash","Fraxinus pennsylvanica"
"85","701","ND",419,48.714519,-97.964978,120.201363493312,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",394,48.939136,-97.833015,116.148570154734,"eastern cottonwood","Populus deltoides"
"87","763","ND",434,48.931064,-98.088657,114.703874639392,"chokecherry","Prunus virginiana"
"88","766","ND",398,47.879375,-98.818447,131.081483870968,"American plum","Prunus americana"
"89","823","ND",434,48.931064,-98.088657,114.703874639392,"bur oak","Quercus macrocarpa"
"90","920","ND",337,48.819176,-99.4815374545455,123.641450039339,"willow spp.","Salix spp."
"91","921","ND",395,48.6180578193548,-98.160146283871,122.898959087333,"peachleaf willow","Salix amygdaloides"
"92","951","ND",394,48.939136,-97.833015,116.148570154734,"American basswood","Tilia americana"
"93","972","ND",394,48.939136,-97.833015,116.148570154734,"American elm","Ulmus americana"
"94","975","ND",307,48.958546,-97.246115,117.032198006819,"slippery elm","Ulmus rubra"
"95","68","MI",225,45.3143334910714,-85.6619234285714,122.997346184107,"eastern redcedar","Juniperus virginiana"
"96","313","MI",225,45.3143334910714,-85.6619234285714,122.997346184107,"boxelder maple","Acer negundo"
"97","375","MI",361,47.4332378059702,-88.2071148358209,109.101964857068,"paper birch","Betula papyrifera"
