"","SPCD","State","PLOT","maxSOC","geometry","Common","Species"
"66","921","OH",58,47834.75,c(-83.6273275, 40.2659274204545),"peachleaf willow","Salix amygdaloides"
"67","68","ND",648,19816.25,c(-97.564123, 46.991865),"eastern redcedar","Juniperus virginiana"
"68","122","ND",354,19748,c(-98.444376, 46.524135),"ponderosa pine","Pinus ponderosa"
"69","313","ND",394,31090.25,c(-97.833015, 48.939136),"boxelder","Acer negundo"
"70","375","ND",466,35092,c(-100.216577, 48.90256),"paper birch","Betula papyrifera"
"71","544","ND",467,39711,c(-100.277649, 48.905791),"green ash","Fraxinus pennsylvanica"
"72","701","ND",448,20082.25,c(-97.313675, 48.077334),"ironwood","Ostrya virginiana"
"73","763","ND",467,39711,c(-100.277649, 48.905791),"chokecherry","Prunus virginiana"
"74","766","ND",2283,16188.5,c(-102.391081, 48.14338),"American plum","Prunus americana"
"75","823","ND",467,39711,c(-100.277649, 48.905791),"bur oak","Quercus macrocarpa"
"76","920","ND",337,21691,c(-99.4815374545455, 48.819176),"willow spp.","Salix spp."
"77","921","ND",343,20809.75,c(-99.762853, 48.8648065121951),"peachleaf willow","Salix amygdaloides"
"78","951","ND",394,31090.25,c(-97.833015, 48.939136),"basswood","Tilia americana"
"79","972","ND",394,31090.25,c(-97.833015, 48.939136),"American elm","Ulmus americana"
"80","975","ND",530,25240,c(-97.113904, 46.259945),"slippery elm","Ulmus rubra"
"81","766","MI",13,35459.5,c(-85.9549141895911, 44.4925107546468),"American plum","Prunus americana"
"82","68","KS",512,26838.5,c(-96.790864, 39.668617),"eastern redcedar","Juniperus virginiana"
"83","122","KS",241,14258.5,c(-97.5493087310345, 39.2664458344828),"ponderosa pine","Pinus ponderosa"
"84","313","KS",398,26038.75,c(-95.960626, 38.537547),"boxelder","Acer negundo"
"85","462","KS",512,26838.5,c(-96.790864, 39.668617),"hackberry","Celtis occidentalis"
"86","544","KS",291,26768.5,c(-95.241626492228, 38.6888692746114),"green ash","Fraxinus pennsylvanica"
"87","602","KS",512,26838.5,c(-96.790864, 39.668617),"black walnut","Juglans nigra"
"88","701","KS",317,22361,c(-95.5406900853659, 38.0377246260163),"ironwood","Ostrya virginiana"
"89","742","KS",470,21839.5,c(-96.989862, 39.863789),"east. cottonwood","Populus deltoides"
"90","763","KS",282,19629.75,c(-95.0726778479263, 38.9567062396313),"chokecherry","Prunus virginiana"
"91","766","KS",291,26768.5,c(-95.241626492228, 38.6888692746114),"American plum","Prunus americana"
"92","823","KS",512,26838.5,c(-96.790864, 39.668617),"bur oak","Quercus macrocarpa"
"93","920","KS",305,7286.5,c(-96.7380723333333, 37.49977),"willow spp.","Salix spp."
"94","921","KS",339,17701.25,c(-96.20685448, 38.40543392),"peachleaf willow","Salix amygdaloides"
"95","951","KS",291,26768.5,c(-95.241626492228, 38.6888692746114),"basswood","Tilia americana"
"96","972","KS",512,26838.5,c(-96.790864, 39.668617),"American elm","Ulmus americana"
"97","975","KS",291,26768.5,c(-95.241626492228, 38.6888692746114),"slippery elm","Ulmus rubra"
"98","68","IN",123,290.867492675781,c(-86.4427842857143, 40.4730211428571),"eastern redcedar","Juniperus virginiana"
"99","313","IN",142,334.607482910156,c(-86.8885970212766, 40.1790884680851),"boxelder","Acer negundo"
"100","375","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"paper birch","Betula papyrifera"
"101","462","IN",142,334.607482910156,c(-86.8885970212766, 40.1790884680851),"hackberry","Celtis occidentalis"
