"site","lat","lon"
200,41.9364609490662,-96.9655298098472
201,41.4775215333333,-97.07937948
202,40.7940297165354,-96.8167961574803
203,41.7616454478261,-97.9505213521739
204,41.0795507733333,-97.68614668
205,41.7443616521739,-98.5197170869565
206,41.114491,-96.282290875
207,40.4234131836735,-96.7018264693878
208,41.1358489,-96.29422435
209,41.057781043956,-97.7952546593407
210,41.0143368873239,-96.4140305140845
211,41.8409124392523,-97.1919602056075
212,41.9560695333333,-96.3878329333333
213,41.391965775,-97.09763135
214,42.7626499241379,-99.3407627344828
215,42.0405443529412,-97.3499207156863
216,41.7123974638298,-98.315608506383
217,41.551381048,-96.278322896
218,41.8906435,-98.0122627068965
219,41.0927912346939,-96.7003558061224
220,41.2079160384615,-97.9197675480769
221,40.7832538493151,-97.6010023561644
222,41.1136387662338,-101.483967253247
223,41.3096614710145,-98.415406763285
224,41.8073622252252,-98.457805018018
225,40.2153577730496,-97.9745509574468
226,41.0528422234043,-100.837653265957
227,41.5606509298246,-97.0478204736842
228,41.1979577835052,-100.518578268041
229,41.4685453374486,-99.8503920576132
230,41.3240885,-96.1203239433962
231,41.6591274448819,-98.564820976378
232,41.5663817368421,-98.0774724210526
233,40.9105643661972,-100.164426915493
234,41.6448014350649,-97.1663498246753
235,40.5556697355372,-97.7621814876033
236,42.2945377172414,-99.2531155103448
237,42.3515029137931,-97.0492605517241
238,40.9248137651515,-98.4739500606061
239,40.8532089152542,-98.9030807966102
240,41.4956739753086,-97.7824355555556
241,40.687069,-96.29166
242,42.395767597973,-98.8886324459459
243,41.0389580291262,-96.8383060582524
244,41.438684,-96.629872
245,40.7192604482759,-99.1247493793103
246,40.5726264597701,-99.2932643333333
247,41.9514465,-97.6299073095238
248,40.0693957455357,-98.1197084776786
249,40.8636192352941,-98.6923894705882
250,40.128377,-98.590721
251,42.941101,-99.21325
252,40.210088,-97.740542
253,40.9761219166667,-97.7047868333333
254,42.0656148365385,-98.9444739182692
255,42.7632924375,-98.5141029807692
256,41.051785,-98.698696
257,42.7390072937063,-99.8978361153846
258,41.7456277745098,-97.8103431176471
261,40.075209,-98.566895
262,41.5759313953488,-97.6959986511628
263,42.776416,-99.970337
264,40.3953873823529,-100.517548117647
265,42.1163764592593,-100.671966051852
266,41.8188914557823,-103.555358843537
267,42.1981848888889,-102.098965666667
268,41.214628,-101.592192
269,41.519227,-103.557219
271,42.5149393239437,-97.969594915493
273,40.2063125,-100.104548
276,41.118584,-101.551305
277,42.698238,-97.167266
278,42.8329304444444,-99.429033
280,42.813704,-102.805097
281,41.8702820869565,-100.153375452174
282,41.092062,-96.817272
283,42.727725,-102.809657
284,40.883838,-99.318862
286,41.7328109272727,-99.6895427454545
287,42.745691,-102.952656
290,42.547514,-99.709994
291,40.8363069130435,-101.360538869565
292,42.0697544285714,-101.708987607143
293,40.672746,-99.393694
295,40.6829164580645,-100.463720019355
297,42.700639,-100.02681
298,42.583479,-99.801588
304,40.667003,-99.247327
307,42.3556740769231,-98.3775961538462
308,42.778804,-97.866526
310,42.749489,-99.458531
312,40.807747,-100.157905
319,42.758468,-97.954413
321,42.659085,-97.927761
324,42.719179,-98.021225
326,42.6817728130841,-100.302828271028
328,42.77693,-97.573099
341,42.668889,-103.096458
342,42.668168,-103.14199
343,42.629915,-103.133597
347,42.6999806597938,-101.915184969072
348,42.638645,-103.243994
353,42.46236,-103.081989
356,42.675382,-98.042232
361,42.637382,-98.161867
362,42.565643,-103.321143
363,42.611576,-98.185808
364,42.5551448888889,-102.236390777778
368,42.58064,-98.241342
370,42.563511,-98.182157
375,42.45313,-98.231367
378,42.635828,-99.815342
381,42.698562,-98.293115
388,42.482679,-98.134944
392,42.645967,-103.318589
393,42.601912,-103.293551
397,42.690777,-103.468297
400,42.576469,-103.451685
402,42.476549,-103.407852
417,42.617497,-103.563165
418,42.706694,-103.607951
420,42.586708,-103.521051
425,41.512638,-103.30619
434,41.462672,-103.053255
470,42.63023,-103.61159
471,42.745265,-103.552706
472,42.750214,-103.620486
474,42.794798,-103.65834
480,41.406532,-102.559506
486,42.916279,-102.565679
492,42.794866,-103.59379
493,42.58062,-103.578594
494,42.598131,-103.647598
516,41.614279,-99.22908
526,41.576086,-99.268585
528,41.615065,-99.575835
551,40.912352,-100.382269
552,40.871975,-100.357993
555,40.912582,-100.446224
556,40.876677,-100.422579
557,41.0354766170213,-99.8714435531915
561,42.179102,-98.404738
567,42.763041,-98.326187
573,42.722718,-98.416868
578,41.72592,-99.388995
579,42.693759,-98.531582
585,41.536,-99.303117
588,41.659655,-99.659772
589,41.601582,-99.443325
598,41.005837,-100.439308
606,41.015524,-100.613085
611,40.975015,-100.525574
612,40.926038,-100.502356
614,40.894607,-100.544631
615,42.375749,-98.61223
616,40.74039,-101.052162
617,41.7075945116279,-102.006189674419
619,41.0946169411765,-100.683581
620,42.25131,-98.662759
621,40.800664,-100.503136
623,42.98605,-102.479837
624,42.939946,-102.454425
625,42.5582081809524,-101.989165733333
627,40.871411,-100.62837
629,42.660996,-102.11106
631,40.742273,-100.64622
634,42.859728,-102.481635
635,42.836744,-102.520112
636,42.801116,-98.700509
640,42.838307,-101.690912
648,41.714873,-99.680067
654,42.756435,-102.708338
656,42.698136,-98.966627
668,41.046598,-100.794306
680,41.490004,-99.92118
683,41.40421,-100.00398
686,41.463133,-100.093337
690,41.325126,-99.898532
699,40.745991,-100.770203
706,40.941804,-100.623168
712,42.971161,-102.770789
714,42.932696,-102.702492
718,42.792343,-102.669311
719,42.799578,-102.745903
720,42.633947,-99.045203
731,41.14609,-100.967435
735,42.810574,-99.132657
737,42.869319,-102.535219
745,42.544498,-99.05458
771,42.183402,-99.092933
775,42.167428,-99.032107
782,40.954803,-100.470019
785,42.776168,-99.231191
793,41.200234,-101.127175
1180,42.901244,-100.308809
1245,42.891493,-100.258495
1246,42.90665,-100.377064
1252,42.877345,-100.489191
1256,42.893849,-100.56376
1257,42.824234,-100.532631
1267,42.800029,-100.567427
1359,42.742689,-100.828999
1443,42.797594,-101.050066
1769,42.859634,-100.236834
1783,42.781677,-100.867742
