"","SPCD","State","PLOT","lat","lon","maxAVP","Common","Species"
"64","68","OH",6635,38.927069,-84.254339,2111.33837136113,"eastern redcedar","Juniperus virginiana"
"65","313","OH",6907,39.128259,-84.791477,2122.80276160504,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,1861.51514555468,"paper birch","Betula papyrifera"
"67","462","OH",6907,39.128259,-84.791477,2122.80276160504,"hackberry","Celtis occidentalis"
"68","544","OH",6781,39.100535,-84.371097,2110.67649095201,"green ash","Fraxinus pennsylvanica"
"69","602","OH",6907,39.128259,-84.791477,2122.80276160504,"black walnut","Juglans nigra"
"70","701","OH",16061,39.553471,-84.409422,2056.26683713611,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",6206,41.604039,-82.715743,2068.27150275374,"eastern cottonwood","Populus deltoides"
"72","763","OH",6604,39.571883,-83.90484,2028.89009441385,"chokecherry","Prunus virginiana"
"73","766","OH",47,40.0099469205298,-83.4898108278146,1971.17660896932,"American plum","Prunus americana"
"74","823","OH",6481,38.993129,-84.279936,2099.05913453973,"bur oak","Quercus macrocarpa"
"75","920","OH",6050,41.4123,-82.212693,2028.87428796223,"willow spp.","Salix spp."
"76","921","OH",38,40.2188748067227,-82.8805285546218,1968.27933910307,"peachleaf willow","Salix amygdaloides"
"77","951","OH",6907,39.128259,-84.791477,2122.80276160504,"American basswood","Tilia americana"
"78","972","OH",6907,39.128259,-84.791477,2122.80276160504,"American elm","Ulmus americana"
"79","975","OH",6907,39.128259,-84.791477,2122.80276160504,"slippery elm","Ulmus rubra"
"80","68","ND",663,47.123857,-97.314025,1611.59804091267,"eastern redcedar","Juniperus virginiana"
"81","122","ND",354,46.524135,-98.444376,1627.41095200629,"ponderosa pine","Pinus ponderosa"
"82","313","ND",409,46.173722,-96.58582,1764.97980330448,"boxelder maple","Acer negundo"
"83","375","ND",404,48.748227,-97.928114,1520.98752950433,"paper birch","Betula papyrifera"
"84","544","ND",409,46.173722,-96.58582,1764.97980330448,"green ash","Fraxinus pennsylvanica"
"85","701","ND",448,48.077334,-97.313675,1609.33817466562,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",530,46.259945,-97.113904,1729.25470495673,"eastern cottonwood","Populus deltoides"
"87","763","ND",409,46.173722,-96.58582,1764.97980330448,"chokecherry","Prunus virginiana"
"88","766","ND",398,47.879375,-98.818447,1546.66023603462,"American plum","Prunus americana"
"89","823","ND",397,46.7576465342466,-96.7900597990868,1702.45553107789,"bur oak","Quercus macrocarpa"
"90","920","ND",337,48.819176,-99.4815374545455,1386.51139260425,"willow spp.","Salix spp."
"91","921","ND",501,48.181101,-97.755533,1579.68003147128,"peachleaf willow","Salix amygdaloides"
"92","951","ND",520,46.531986,-97.184395,1695.14461054288,"American basswood","Tilia americana"
"93","972","ND",397,46.7576465342466,-96.7900597990868,1702.45553107789,"American elm","Ulmus americana"
"94","975","ND",530,46.259945,-97.113904,1729.25470495673,"slippery elm","Ulmus rubra"
"95","68","MI",27,42.9999575507246,-84.8987454444444,1751.77010228167,"eastern redcedar","Juniperus virginiana"
"96","313","MI",99,42.7732516355556,-85.0327149911111,1763.70970889064,"boxelder maple","Acer negundo"
"97","375","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"paper birch","Betula papyrifera"
"98","462","MI",50,43.1178644558824,-84.7060330784314,1735.2874822974,"hackberry","Celtis occidentalis"
"99","544","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"green ash","Fraxinus pennsylvanica"
"100","602","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"black walnut","Juglans nigra"
"101","701","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"eastern cottonwood","Populus deltoides"
"103","763","MI",267,43.3105548676471,-83.9121440294118,1766.08317859953,"chokecherry","Prunus virginiana"
"104","766","MI",13,44.4925107546468,-85.9549141895911,1656.65831628639,"American plum","Prunus americana"
"105","823","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"bur oak","Quercus macrocarpa"
"106","920","MI",109,45.011533877907,-86.1345422616279,1690.54055861526,"willow spp.","Salix spp."
"107","921","MI",44,43.0898403863636,-84.5189566931818,1735.19907946499,"peachleaf willow","Salix amygdaloides"
"108","951","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"American basswood","Tilia americana"
"109","972","MI",21,43.4132105057034,-84.006488513308,1769.67572777341,"American elm","Ulmus americana"
"110","975","MI",267,43.3105548676471,-83.9121440294118,1766.08317859953,"slippery elm","Ulmus rubra"
"111","68","KS",618,37.036117,-96.978595,2505.72275373721,"eastern redcedar","Juniperus virginiana"
"112","122","KS",362,38.4611168125,-95.5697307291667,2348.66925255704,"ponderosa pine","Pinus ponderosa"
"113","313","KS",374,37.0321351698113,-96.0116375471698,2469.3153815893,"boxelder maple","Acer negundo"
"114","462","KS",618,37.036117,-96.978595,2505.72275373721,"hackberry","Celtis occidentalis"
"115","544","KS",531,37.037729,-96.5678,2472.02546813533,"green ash","Fraxinus pennsylvanica"
"116","602","KS",358,37.2728717037037,-97.4331800740741,2466.16226593234,"black walnut","Juglans nigra"
"117","701","KS",216,39.0273326341463,-94.9307269268293,2420.33375295043,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",326,37.2932073023256,-96.9968610930233,2446.81225806452,"eastern cottonwood","Populus deltoides"
"119","763","KS",216,39.0273326341463,-94.9307269268293,2420.33375295043,"chokecherry","Prunus virginiana"
"120","766","KS",618,37.036117,-96.978595,2505.72275373721,"American plum","Prunus americana"
"121","823","KS",612,37.071398,-97.003148,2491.5336270653,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,2337.47516129032,"willow spp.","Salix spp."
"123","921","KS",260,37.7792347386364,-97.8922670909091,2387.84234461054,"peachleaf willow","Salix amygdaloides"
"124","951","KS",349,37.7414660131579,-96.9391280526316,2389.86774193548,"American basswood","Tilia americana"
"125","972","KS",618,37.036117,-96.978595,2505.72275373721,"American elm","Ulmus americana"
"126","975","KS",612,37.071398,-97.003148,2491.5336270653,"slippery elm","Ulmus rubra"
"127","68","IN",106,38.70227125,-87.1946766071429,2204.88195908733,"eastern redcedar","Juniperus virginiana"
"128","313","IN",150,38.6561033666667,-87.2896350666667,2216.16526357199,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,2099.20873328088,"paper birch","Betula papyrifera"
"130","462","IN",174,38.610194,-87.539208375,2251.64021243116,"hackberry","Celtis occidentalis"
"131","544","IN",174,38.610194,-87.539208375,2251.64021243116,"green ash","Fraxinus pennsylvanica"
"132","602","IN",150,38.6561033666667,-87.2896350666667,2216.16526357199,"black walnut","Juglans nigra"
"133","701","IN",2007,38.1688775,-86.568807,2201.47226593234,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",235,38.6674552068966,-86.9542958275862,2167.66746656176,"eastern cottonwood","Populus deltoides"
"135","763","IN",145,39.2935257272727,-86.7336180606061,2086.71018882769,"chokecherry","Prunus virginiana"
"136","766","IN",40,38.889503562963,-85.5284242962963,2109.30025177026,"American plum","Prunus americana"
"137","823","IN",82,38.812858725,-86.268741025,2112.95466561762,"bur oak","Quercus macrocarpa"
"138","920","IN",219,39.0903842649573,-86.1470528290598,2107.95428009441,"willow spp.","Salix spp."
"139","951","IN",150,38.6561033666667,-87.2896350666667,2216.16526357199,"American basswood","Tilia americana"
"140","972","IN",173,38.163089,-86.783353,2217.15762391817,"American elm","Ulmus americana"
"141","975","IN",2030,37.987463,-86.647524,2234.89242328875,"slippery elm","Ulmus rubra"
"142","68","IL",123,38.6749155882353,-89.8579536544118,2344.94788355625,"eastern redcedar","Juniperus virginiana"
"143","313","IL",111,38.4878522941177,-90.0944932117647,2359.19024390244,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,2128.11890637293,"paper birch","Betula papyrifera"
"145","462","IL",29,37.2801132380952,-89.1090238095238,2382.87463414634,"hackberry","Celtis occidentalis"
"146","544","IL",9012,37.372254,-89.344622,2360.54290322581,"green ash","Fraxinus pennsylvanica"
"147","602","IL",29,37.2801132380952,-89.1090238095238,2382.87463414634,"black walnut","Juglans nigra"
"148","701","IL",9012,37.372254,-89.344622,2360.54290322581,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",207,37.4638555185185,-89.1437525925926,2331.13804091267,"eastern cottonwood","Populus deltoides"
"150","763","IL",27,38.910987696,-89.338283544,2240.61862313139,"chokecherry","Prunus virginiana"
"151","766","IL",103,38.8887287142857,-89.3499328571429,2251.4474822974,"American plum","Prunus americana"
"152","823","IL",84,38.3485644666667,-89.9937506666667,2349.23344610543,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,2142.89948859166,"peachleaf willow","Salix amygdaloides"
"154","951","IL",123,38.6749155882353,-89.8579536544118,2344.94788355625,"American basswood","Tilia americana"
"155","972","IL",29,37.2801132380952,-89.1090238095238,2382.87463414634,"American elm","Ulmus americana"
"156","975","IL",9007,37.3594398181818,-89.2466971818182,2359.4881667978,"slippery elm","Ulmus rubra"
"157","68","IA",169,41.184725,-95.749313,2142.73062942565,"eastern redcedar","Juniperus virginiana"
"158","122","IA",73,41.1666716865672,-93.9014719303483,2080.39932336743,"ponderosa pine","Pinus ponderosa"
"159","313","IA",88,40.9220281558442,-92.062709012987,2132.95084185681,"boxelder maple","Acer negundo"
"160","375","IA",78,41.4043821179245,-92.3058080566038,2048.00268292683,"paper birch","Betula papyrifera"
"161","462","IA",169,41.184725,-95.749313,2142.73062942565,"hackberry","Celtis occidentalis"
"162","544","IA",29,40.9123353536585,-92.4656878780488,2134.92634146341,"green ash","Fraxinus pennsylvanica"
"163","602","IA",29,40.9123353536585,-92.4656878780488,2134.92634146341,"black walnut","Juglans nigra"
"164","701","IA",29,40.9123353536585,-92.4656878780488,2134.92634146341,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",142,41.511625,-93.390598,2124.94827694729,"eastern cottonwood","Populus deltoides"
"166","763","IA",90,41.4980942333333,-92.6455769458333,2047.04047206924,"chokecherry","Prunus virginiana"
"167","766","IA",17,41.2316540909091,-93.1615300636364,2121.12416994493,"American plum","Prunus americana"
"168","823","IA",169,41.184725,-95.749313,2142.73062942565,"bur oak","Quercus macrocarpa"
"169","920","IA",80,41.5151172274143,-93.1067842866044,2079.73147915028,"willow spp.","Salix spp."
"170","921","IA",229,41.421913,-95.642271,2124.08405979544,"peachleaf willow","Salix amygdaloides"
"171","951","IA",88,40.9220281558442,-92.062709012987,2132.95084185681,"American basswood","Tilia americana"
"172","972","IA",29,40.9123353536585,-92.4656878780488,2134.92634146341,"American elm","Ulmus americana"
"173","975","IA",169,41.184725,-95.749313,2142.73062942565,"slippery elm","Ulmus rubra"
"174","68","MN",304,43.749731,-91.449614,1943.66509834776,"eastern redcedar","Juniperus virginiana"
"175","313","MN",235,44.867981,-93.022036,1992.1889299764,"boxelder maple","Acer negundo"
"176","375","MN",148,44.9362893,-93.31370536,1954.85880409127,"paper birch","Betula papyrifera"
"177","462","MN",235,44.867981,-93.022036,1992.1889299764,"hackberry","Celtis occidentalis"
"178","544","MN",235,44.867981,-93.022036,1992.1889299764,"green ash","Fraxinus pennsylvanica"
"179","602","MN",251,44.9655825,-93.3399445,1945.84934697089,"black walnut","Juglans nigra"
"180","701","MN",148,44.9362893,-93.31370536,1954.85880409127,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",269,44.888108,-93.158527,1982.63087332809,"eastern cottonwood","Populus deltoides"
"182","763","MN",338,45.0018886585366,-93.3066573170732,1937.14454760031,"chokecherry","Prunus virginiana"
"183","766","MN",304,43.749731,-91.449614,1943.66509834776,"American plum","Prunus americana"
"184","823","MN",64,44.8368142392157,-93.1191514156863,1951.93269079465,"bur oak","Quercus macrocarpa"
"185","920","MN",336,44.18667156,-93.99783448,1913.46505114083,"willow spp.","Salix spp."
"186","921","MN",148,44.9362893,-93.31370536,1954.85880409127,"peachleaf willow","Salix amygdaloides"
"187","951","MN",148,44.9362893,-93.31370536,1954.85880409127,"American basswood","Tilia americana"
"188","972","MN",235,44.867981,-93.022036,1992.1889299764,"American elm","Ulmus americana"
"189","975","MN",269,44.888108,-93.158527,1982.63087332809,"slippery elm","Ulmus rubra"
