"","SPCD","State","PLOT","lat","lon","minTC","Common","Species"
"64","68","OH",56,40.4479941807229,-82.7375922891566,-8.02661683713611,"eastern redcedar","Juniperus virginiana"
"65","313","OH",7071,41.612557,-84.600006,-8.82195908733281,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,-7.41,"paper birch","Betula papyrifera"
"67","462","OH",7071,41.612557,-84.600006,-8.82195908733281,"hackberry","Celtis occidentalis"
"68","544","OH",11,40.5773520899281,-82.4635852194245,-8.48575924468922,"green ash","Fraxinus pennsylvanica"
"69","602","OH",11,40.5773520899281,-82.4635852194245,-8.48575924468922,"black walnut","Juglans nigra"
"70","701","OH",7079,41.442875,-84.767888,-8.71560975609756,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",7071,41.612557,-84.600006,-8.82195908733281,"eastern cottonwood","Populus deltoides"
"72","763","OH",58,40.2659274204545,-83.6273275,-7.91731707317073,"chokecherry","Prunus virginiana"
"73","766","OH",56,40.4479941807229,-82.7375922891566,-8.02661683713611,"American plum","Prunus americana"
"74","823","OH",11,40.5773520899281,-82.4635852194245,-8.48575924468922,"bur oak","Quercus macrocarpa"
"75","920","OH",5740,40.59874,-82.074208,-7.88418568056648,"willow spp.","Salix spp."
"76","921","OH",58,40.2659274204545,-83.6273275,-7.91731707317073,"peachleaf willow","Salix amygdaloides"
"77","951","OH",7079,41.442875,-84.767888,-8.71560975609756,"American basswood","Tilia americana"
"78","972","OH",7079,41.442875,-84.767888,-8.71560975609756,"American elm","Ulmus americana"
"79","975","OH",11,40.5773520899281,-82.4635852194245,-8.48575924468922,"slippery elm","Ulmus rubra"
"80","68","ND",648,46.991865,-97.564123,-18.3041463414634,"eastern redcedar","Juniperus virginiana"
"81","122","ND",354,46.524135,-98.444376,-16.9896616837136,"ponderosa pine","Pinus ponderosa"
"82","313","ND",395,48.6180578193548,-98.160146283871,-20.4379071597168,"boxelder maple","Acer negundo"
"83","375","ND",419,48.714519,-97.964978,-20.4105035405193,"paper birch","Betula papyrifera"
"84","544","ND",295,48.862723,-99.841502,-20.4401494885917,"green ash","Fraxinus pennsylvanica"
"85","701","ND",419,48.714519,-97.964978,-20.4105035405193,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",472,48.0764814423077,-98.0655783846154,-19.6036191974823,"eastern cottonwood","Populus deltoides"
"87","763","ND",441,48.898314,-98.145696,-20.4713217938631,"chokecherry","Prunus virginiana"
"88","766","ND",398,47.879375,-98.818447,-18.7012352478363,"American plum","Prunus americana"
"89","823","ND",314,48.875973,-99.923832,-20.4470338316286,"bur oak","Quercus macrocarpa"
"90","920","ND",337,48.819176,-99.4815374545455,-20.036294256491,"willow spp.","Salix spp."
"91","921","ND",395,48.6180578193548,-98.160146283871,-20.4379071597168,"peachleaf willow","Salix amygdaloides"
"92","951","ND",417,48.6854854840764,-97.9531973630573,-20.3816837136113,"American basswood","Tilia americana"
"93","972","ND",395,48.6180578193548,-98.160146283871,-20.4379071597168,"American elm","Ulmus americana"
"94","975","ND",307,48.958546,-97.246115,-20.1800472069237,"slippery elm","Ulmus rubra"
"95","68","MI",493,45.9630775153846,-87.7321425076923,-14.6366089693155,"eastern redcedar","Juniperus virginiana"
"96","313","MI",313,46.3584633493151,-88.9634383835617,-16.1714791502754,"boxelder maple","Acer negundo"
"97","375","MI",9093,46.264241,-89.558418,-16.7911801730921,"paper birch","Betula papyrifera"
"98","462","MI",299,46.02218075,-87.7288825,-14.9005822187254,"hackberry","Celtis occidentalis"
"99","544","MI",393,46.3753022352941,-89.7475203235294,-16.5313768686074,"green ash","Fraxinus pennsylvanica"
"100","602","MI",308,46.0630989774436,-87.8700235112782,-14.9582533438238,"black walnut","Juglans nigra"
"101","701","MI",9146,46.265511,-89.669471,-16.8884657749803,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",418,46.4970735308642,-88.304771382716,-15.8301180173092,"eastern cottonwood","Populus deltoides"
"103","763","MI",9081,46.344447,-89.642393,-16.5950904799371,"chokecherry","Prunus virginiana"
"104","766","MI",3,44.3742591376812,-85.5982131594203,-10.7110464201416,"American plum","Prunus americana"
"105","823","MI",9060,46.198567,-88.86327025,-16.5298505114083,"bur oak","Quercus macrocarpa"
"106","920","MI",235,46.1088033896104,-87.0449578722944,-13.0321243115657,"willow spp.","Salix spp."
"107","921","MI",9094,46.330632,-89.42198,-16.483768686074,"peachleaf willow","Salix amygdaloides"
"108","951","MI",9146,46.265511,-89.669471,-16.8884657749803,"American basswood","Tilia americana"
"109","972","MI",9075,46.355396,-89.779618,-16.7397482297404,"American elm","Ulmus americana"
"110","975","MI",130,45.504763943662,-87.5632237183099,-13.3559166011015,"slippery elm","Ulmus rubra"
"111","68","KS",242,39.7534856352941,-98.2124449294118,-9.18860739575138,"eastern redcedar","Juniperus virginiana"
"112","122","KS",241,39.2664458344828,-97.5493087310345,-7.4917230527144,"ponderosa pine","Pinus ponderosa"
"113","313","KS",261,39.5027995779816,-98.9700665504587,-8.90541306058222,"boxelder maple","Acer negundo"
"114","462","KS",209,39.705956,-99.650345,-9.29720692368214,"hackberry","Celtis occidentalis"
"115","544","KS",209,39.705956,-99.650345,-9.29720692368214,"green ash","Fraxinus pennsylvanica"
"116","602","KS",242,39.7534856352941,-98.2124449294118,-9.18860739575138,"black walnut","Juglans nigra"
"117","701","KS",213,39.5170935656566,-97.7215878888889,-7.93851298190401,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",209,39.705956,-99.650345,-9.29720692368214,"eastern cottonwood","Populus deltoides"
"119","763","KS",539,39.944019,-96.980901,-8.82905586152636,"chokecherry","Prunus virginiana"
"120","766","KS",515,39.975632,-96.661119,-9.02800944138474,"American plum","Prunus americana"
"121","823","KS",242,39.7534856352941,-98.2124449294118,-9.18860739575138,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,-6.36648308418568,"willow spp.","Salix spp."
"123","921","KS",258,39.6333343783784,-99.849435027027,-9.11286388670338,"peachleaf willow","Salix amygdaloides"
"124","951","KS",438,39.525272,-96.170884,-8.0887962234461,"American basswood","Tilia americana"
"125","972","KS",209,39.705956,-99.650345,-9.29720692368214,"American elm","Ulmus americana"
"126","975","KS",258,39.6333343783784,-99.849435027027,-9.11286388670338,"slippery elm","Ulmus rubra"
"127","68","IN",20,40.834957549763,-85.9046619194313,-8.43107002360346,"eastern redcedar","Juniperus virginiana"
"128","313","IN",199,41.109007,-85.797299,-8.62123524783635,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,-6.17909520062943,"paper birch","Betula papyrifera"
"130","462","IN",251,41.184175,-85.859711,-8.53941778127459,"hackberry","Celtis occidentalis"
"131","544","IN",252,41.190936952381,-85.9588390952381,-8.53143981117231,"green ash","Fraxinus pennsylvanica"
"132","602","IN",252,41.190936952381,-85.9588390952381,-8.53143981117231,"black walnut","Juglans nigra"
"133","701","IN",257,41.063023,-85.946103,-8.60679779701023,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",252,41.190936952381,-85.9588390952381,-8.53143981117231,"eastern cottonwood","Populus deltoides"
"135","763","IN",255,41.631125,-86.921813,-8.03950432730134,"chokecherry","Prunus virginiana"
"136","766","IN",20,40.834957549763,-85.9046619194313,-8.43107002360346,"American plum","Prunus americana"
"137","823","IN",197,41.005895,-87.26851,-8.92634146341463,"bur oak","Quercus macrocarpa"
"138","920","IN",48,40.1780519139785,-86.0055538924731,-7.76087332808812,"willow spp.","Salix spp."
"139","951","IN",257,41.063023,-85.946103,-8.60679779701023,"American basswood","Tilia americana"
"140","972","IN",199,41.109007,-85.797299,-8.62123524783635,"American elm","Ulmus americana"
"141","975","IN",252,41.190936952381,-85.9588390952381,-8.53143981117231,"slippery elm","Ulmus rubra"
"142","68","IL",30,41.2714080372671,-90.2013173664596,-9.8854602675059,"eastern redcedar","Juniperus virginiana"
"143","313","IL",78,41.7943362604167,-88.6776619270833,-10.3699685287175,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,-7.53771833202203,"paper birch","Betula papyrifera"
"145","462","IL",30,41.2714080372671,-90.2013173664596,-9.8854602675059,"hackberry","Celtis occidentalis"
"146","544","IL",78,41.7943362604167,-88.6776619270833,-10.3699685287175,"green ash","Fraxinus pennsylvanica"
"147","602","IL",78,41.7943362604167,-88.6776619270833,-10.3699685287175,"black walnut","Juglans nigra"
"148","701","IL",30,41.2714080372671,-90.2013173664596,-9.8854602675059,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",78,41.7943362604167,-88.6776619270833,-10.3699685287175,"eastern cottonwood","Populus deltoides"
"150","763","IL",24,40.7608166758621,-89.6126217172414,-9.33904799370574,"chokecherry","Prunus virginiana"
"151","766","IL",63,40.987505961165,-89.9053471359223,-9.50125885129819,"American plum","Prunus americana"
"152","823","IL",78,41.7943362604167,-88.6776619270833,-10.3699685287175,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,-7.14926829268293,"peachleaf willow","Salix amygdaloides"
"154","951","IL",154,40.8835121168831,-89.7780707662338,-9.45966955153422,"American basswood","Tilia americana"
"155","972","IL",78,41.7943362604167,-88.6776619270833,-10.3699685287175,"American elm","Ulmus americana"
"156","975","IL",30,41.2714080372671,-90.2013173664596,-9.8854602675059,"slippery elm","Ulmus rubra"
"157","68","IA",216,42.8946333454545,-91.6186547939394,-13.4287254130606,"eastern redcedar","Juniperus virginiana"
"158","122","IA",141,41.9366222212389,-92.9634374424779,-11.9202832415421,"ponderosa pine","Pinus ponderosa"
"159","313","IA",41,43.13594376,-92.49548144,-13.6089299763965,"boxelder maple","Acer negundo"
"160","375","IA",65,42.467335,-93.112943,-12.8122738001574,"paper birch","Betula papyrifera"
"161","462","IA",216,42.8946333454545,-91.6186547939394,-13.4287254130606,"hackberry","Celtis occidentalis"
"162","544","IA",221,43.0251936666667,-94.5819362777778,-13.3380566483084,"green ash","Fraxinus pennsylvanica"
"163","602","IA",216,42.8946333454545,-91.6186547939394,-13.4287254130606,"black walnut","Juglans nigra"
"164","701","IA",216,42.8946333454545,-91.6186547939394,-13.4287254130606,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",221,43.0251936666667,-94.5819362777778,-13.3380566483084,"eastern cottonwood","Populus deltoides"
"166","763","IA",135,42.4856529347826,-91.6880630652174,-12.79128245476,"chokecherry","Prunus virginiana"
"167","766","IA",41,43.13594376,-92.49548144,-13.6089299763965,"American plum","Prunus americana"
"168","823","IA",216,42.8946333454545,-91.6186547939394,-13.4287254130606,"bur oak","Quercus macrocarpa"
"169","920","IA",202,42.21152796997,-92.479916984985,-12.2460188827695,"willow spp.","Salix spp."
"170","921","IA",229,41.421913,-95.642271,-10.8410149488592,"peachleaf willow","Salix amygdaloides"
"171","951","IA",216,42.8946333454545,-91.6186547939394,-13.4287254130606,"American basswood","Tilia americana"
"172","972","IA",145,43.119878,-91.781083,-13.6818646734854,"American elm","Ulmus americana"
"173","975","IA",41,43.13594376,-92.49548144,-13.6089299763965,"slippery elm","Ulmus rubra"
"174","68","MN",154,46.8918048181818,-94.5718967575758,-18.8894177812746,"eastern redcedar","Juniperus virginiana"
"175","313","MN",9068,47.9746134090909,-90.9580890454545,-20.4693705743509,"boxelder maple","Acer negundo"
"176","375","MN",1482,47.9881877070707,-90.537319010101,-21.3806608969315,"paper birch","Betula papyrifera"
"177","462","MN",1536,48.029304,-95.217647,-20.0027222659323,"hackberry","Celtis occidentalis"
"178","544","MN",1482,47.9881877070707,-90.537319010101,-21.3806608969315,"green ash","Fraxinus pennsylvanica"
"179","602","MN",212,46.8311465488216,-94.9872287239057,-18.8834303697876,"black walnut","Juglans nigra"
"180","701","MN",700,48.042788,-94.824786,-20.2744059795437,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",1092,47.2060765862069,-94.4337149655172,-19.1284343036979,"eastern cottonwood","Populus deltoides"
"182","763","MN",601,48.172369,-94.502617,-20.396640440598,"chokecherry","Prunus virginiana"
"183","766","MN",194,46.2533918021978,-95.4613531978022,-17.8852006294257,"American plum","Prunus americana"
"184","823","MN",1156,47.8045990384615,-92.3044590192308,-20.6342643587726,"bur oak","Quercus macrocarpa"
"185","920","MN",1565,48.314123,-95.237002,-20.477269866247,"willow spp.","Salix spp."
"186","921","MN",9108,48.057723,-90.401552,-20.390487804878,"peachleaf willow","Salix amygdaloides"
"187","951","MN",1156,47.8045990384615,-92.3044590192308,-20.6342643587726,"American basswood","Tilia americana"
"188","972","MN",9002,48.1812694482759,-91.1186755862069,-20.9496459480724,"American elm","Ulmus americana"
"189","975","MN",146,47.8046225737705,-95.0514949672131,-20.0736428009441,"slippery elm","Ulmus rubra"
