"","SPCD","State","PLOT","lat","lon","maxASR","Common","Species"
"66","375","OH",5510,40.935424,-81.43074,391.670739575138,"paper birch","Betula papyrifera"
"67","462","OH",141,39.2843654229075,-82.0927067665198,394.84162601626,"hackberry","Celtis occidentalis"
"68","544","OH",140,39.5040015,-82.130618,395.103349593496,"green ash","Fraxinus pennsylvanica"
"69","602","OH",7118,39.570134,-82.229698,395.05587804878,"black walnut","Juglans nigra"
"70","701","OH",7123,39.562021,-82.226922,396.235723577236,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",141,39.2843654229075,-82.0927067665198,394.84162601626,"eastern cottonwood","Populus deltoides"
"72","763","OH",142,39.4449644,-82.2436447714286,394.124341463415,"chokecherry","Prunus virginiana"
"73","766","OH",47,40.0099469205298,-83.4898108278146,392.305869918699,"American plum","Prunus americana"
"74","823","OH",114,39.5371912285714,-82.1135995142857,393.595170731707,"bur oak","Quercus macrocarpa"
"75","920","OH",5519,41.150166,-81.540028,391.080212431157,"willow spp.","Salix spp."
"76","921","OH",58,40.2659274204545,-83.6273275,390.589674796748,"peachleaf willow","Salix amygdaloides"
"77","951","OH",7123,39.562021,-82.226922,396.235723577236,"American basswood","Tilia americana"
"78","972","OH",5039,41.369888,-80.521462,395.994869918699,"American elm","Ulmus americana"
"79","975","OH",140,39.5040015,-82.130618,395.103349593496,"slippery elm","Ulmus rubra"
"80","68","ND",663,47.123857,-97.314025,415.919821138211,"eastern redcedar","Juniperus virginiana"
"81","122","ND",354,46.524135,-98.444376,410.089308943089,"ponderosa pine","Pinus ponderosa"
"82","313","ND",491,48.936448,-100.498689,433.799243902439,"boxelder maple","Acer negundo"
"83","375","ND",466,48.90256,-100.216577,433.390991869919,"paper birch","Betula papyrifera"
"84","544","ND",496,48.971111,-100.439713,436.075642276423,"green ash","Fraxinus pennsylvanica"
"85","701","ND",417,48.6854854840764,-97.9531973630573,420.104365853659,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",472,48.0764814423077,-98.0655783846154,421.031739837398,"eastern cottonwood","Populus deltoides"
"87","763","ND",467,48.905791,-100.277649,434.534569105691,"chokecherry","Prunus virginiana"
"88","766","ND",2283,48.14338,-102.391081,420.637617886179,"American plum","Prunus americana"
"89","823","ND",496,48.971111,-100.439713,436.075642276423,"bur oak","Quercus macrocarpa"
"90","920","ND",337,48.819176,-99.4815374545455,423.576552845528,"willow spp.","Salix spp."
"91","921","ND",292,48.934666,-99.754322,431.757642276423,"peachleaf willow","Salix amygdaloides"
"92","951","ND",417,48.6854854840764,-97.9531973630573,420.104365853659,"American basswood","Tilia americana"
"93","972","ND",341,48.937771,-100.154986,430.839341463415,"American elm","Ulmus americana"
"94","975","ND",530,46.259945,-97.113904,411.892178861789,"slippery elm","Ulmus rubra"
"95","68","MI",1005,46.259442,-87.666411,437.239512195122,"eastern redcedar","Juniperus virginiana"
"96","313","MI",763,46.51688175,-85.21100125,468.658560188828,"boxelder maple","Acer negundo"
"97","375","MI",475,46.6367176764706,-89.4863628529412,477.754319433517,"paper birch","Betula papyrifera"
"98","462","MI",235,46.1088033896104,-87.0449578722944,428.031471282455,"hackberry","Celtis occidentalis"
"99","544","MI",415,46.65474425,-88.3422435357143,465.941306058222,"green ash","Fraxinus pennsylvanica"
"100","602","MI",98,44.5788856296296,-84.8200970888889,419.497081300813,"black walnut","Juglans nigra"
"101","701","MI",475,46.6367176764706,-89.4863628529412,477.754319433517,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",418,46.4970735308642,-88.304771382716,454.277466561762,"eastern cottonwood","Populus deltoides"
"103","763","MI",348,46.5809594367816,-89.4904941839081,461.066160503541,"chokecherry","Prunus virginiana"
"104","766","MI",3,44.3742591376812,-85.5982131594203,405.682344610543,"American plum","Prunus americana"
"105","823","MI",314,46.23163154,-87.2169874666667,444.43692368214,"bur oak","Quercus macrocarpa"
"106","920","MI",235,46.1088033896104,-87.0449578722944,428.031471282455,"willow spp.","Salix spp."
