"","SPCD","State","PLOT","lat","lon","maxTC","Common","Species"
"65","313","OH",6635,38.927069,-84.254339,30.3991896144768,"boxelder maple","Acer negundo"
"66","375","OH",5510,40.935424,-81.43074,28.2912903225806,"paper birch","Betula papyrifera"
"67","462","OH",6907,39.128259,-84.791477,30.2975059008655,"hackberry","Celtis occidentalis"
"68","544","OH",6181,38.72948,-83.462898,30.3880487804878,"green ash","Fraxinus pennsylvanica"
"69","602","OH",246,38.721126,-82.856172,30.5607867820614,"black walnut","Juglans nigra"
"70","701","OH",6001,38.83628,-83.061,30.3077340676633,"eastern hophornbeam","Ostrya virginiana"
"71","742","OH",6181,38.72948,-83.462898,30.3880487804878,"eastern cottonwood","Populus deltoides"
"72","763","OH",121,39.5345177380952,-81.7801386190476,29.5580173092054,"chokecherry","Prunus virginiana"
"73","766","OH",47,40.0099469205298,-83.4898108278146,28.9702596380803,"American plum","Prunus americana"
"74","823","OH",6181,38.72948,-83.462898,30.3880487804878,"bur oak","Quercus macrocarpa"
"75","920","OH",6050,41.4123,-82.212693,28.4018804091267,"willow spp.","Salix spp."
"76","921","OH",38,40.2188748067227,-82.8805285546218,29.1175295043273,"peachleaf willow","Salix amygdaloides"
"77","951","OH",215,38.666458,-83.640656,30.5010936270653,"American basswood","Tilia americana"
"78","972","OH",215,38.666458,-83.640656,30.5010936270653,"American elm","Ulmus americana"
"79","975","OH",215,38.666458,-83.640656,30.5010936270653,"slippery elm","Ulmus rubra"
"80","68","ND",2326,47.555566,-103.408721,29.7993941778127,"eastern redcedar","Juniperus virginiana"
"81","122","ND",2249,46.5807658088235,-103.504916647059,30.0535090479937,"ponderosa pine","Pinus ponderosa"
"82","313","ND",2308,47.600684,-102.856393,29.5955782848151,"boxelder maple","Acer negundo"
"83","375","ND",404,48.748227,-97.928114,26.1955861526357,"paper birch","Betula papyrifera"
"84","544","ND",2439,47.958923,-103.956183,30.2375452399685,"green ash","Fraxinus pennsylvanica"
"85","701","ND",448,48.077334,-97.313675,27.5724547600315,"eastern hophornbeam","Ostrya virginiana"
"86","742","ND",2439,47.958923,-103.956183,30.2375452399685,"eastern cottonwood","Populus deltoides"
"87","763","ND",2503,47.455453,-103.678611,29.7773564122738,"chokecherry","Prunus virginiana"
"88","766","ND",2268,47.6792078717949,-103.117938025641,29.0909598741149,"American plum","Prunus americana"
"89","823","ND",2360,46.064161,-100.530575,29.4638316286389,"bur oak","Quercus macrocarpa"
"90","920","ND",2353,48.107707,-103.655919,29.8013768686074,"willow spp.","Salix spp."
"91","921","ND",2398,48.04357,-103.797483,30.0307553107789,"peachleaf willow","Salix amygdaloides"
"92","951","ND",520,46.531986,-97.184395,28.4772069236821,"American basswood","Tilia americana"
"93","972","ND",2360,46.064161,-100.530575,29.4638316286389,"American elm","Ulmus americana"
"94","975","ND",2200,47.55229,-102.215837,28.6737214791503,"slippery elm","Ulmus rubra"
"95","68","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"eastern redcedar","Juniperus virginiana"
"96","313","MI",50,43.1178644558824,-84.7060330784314,28.4108103855232,"boxelder maple","Acer negundo"
"97","375","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"paper birch","Betula papyrifera"
"98","462","MI",50,43.1178644558824,-84.7060330784314,28.4108103855232,"hackberry","Celtis occidentalis"
"99","544","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"green ash","Fraxinus pennsylvanica"
"100","602","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"black walnut","Juglans nigra"
"101","701","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"eastern cottonwood","Populus deltoides"
"103","763","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"chokecherry","Prunus virginiana"
"104","766","MI",13,44.4925107546468,-85.9549141895911,26.7208103855232,"American plum","Prunus americana"
"105","823","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"bur oak","Quercus macrocarpa"
"106","920","MI",224,43.74418494,-84.745970875,28.1071833202203,"willow spp.","Salix spp."
"107","921","MI",62,43.334813287234,-84.4946388687943,28.3400629425649,"peachleaf willow","Salix amygdaloides"
"108","951","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"American basswood","Tilia americana"
